license_plate,expense_date,description,amount,category_name,ID_car
УС723КЕ,2023-01-01,,16312.0,Аренда,13
НА702СК,2023-01-01,,1167.0,Топливо,17
ХВ792ХС,2023-01-01,,233.0,Пробег,1
СК833УХ,2023-01-01,,249.0,Пробег,2
ХО448МЕ,2023-01-01,,183.0,Пробег,3
АХ570СВ,2023-01-01,,152.0,Пробег,4
ТК821ВА,2023-01-01,,145.0,Пробег,5
УН266НН,2023-01-01,,129.0,Пробег,6
СХ350ЕР,2023-01-01,,265.0,Пробег,7
АН510МВ,2023-01-01,,274.0,Пробег,8
ЕМ242КХ,2023-01-01,,120.0,Пробег,9
СР193АВ,2023-01-01,,186.0,Пробег,10
МС981АУ,2023-01-01,,0.0,Пробег,11
ЕР103ХХ,2023-01-01,,113.0,Пробег,12
УС723КЕ,2023-01-01,,209.0,Пробег,13
НР119ВН,2023-01-01,,148.0,Пробег,14
ВС884ЕЕ,2023-01-01,,65.0,Пробег,15
СХ806КХ,2023-01-01,,206.0,Пробег,16
НА702СК,2023-01-01,,358.0,Пробег,17
НВ626КМ,2023-01-01,,298.0,Пробег,18
РО294ВВ,2023-01-01,,308.0,Пробег,19
АО845НВ,2023-01-01,,308.0,Пробег,20
АН510МВ,2023-01-02,,756.0,Админ_расходы,8
ХВ792ХС,2023-01-02,,284.0,Пробег,1
СК833УХ,2023-01-02,,183.0,Пробег,2
ХО448МЕ,2023-01-02,,331.0,Пробег,3
АХ570СВ,2023-01-02,,160.0,Пробег,4
ТК821ВА,2023-01-02,,173.0,Пробег,5
УН266НН,2023-01-02,,86.0,Пробег,6
СХ350ЕР,2023-01-02,,294.0,Пробег,7
АН510МВ,2023-01-02,,294.0,Пробег,8
ЕМ242КХ,2023-01-02,,102.0,Пробег,9
СР193АВ,2023-01-02,,279.0,Пробег,10
МС981АУ,2023-01-02,,69.0,Пробег,11
ЕР103ХХ,2023-01-02,,88.0,Пробег,12
УС723КЕ,2023-01-02,,120.0,Пробег,13
НР119ВН,2023-01-02,,160.0,Пробег,14
ВС884ЕЕ,2023-01-02,,76.0,Пробег,15
СХ806КХ,2023-01-02,,242.0,Пробег,16
НА702СК,2023-01-02,,351.0,Пробег,17
НВ626КМ,2023-01-02,,265.0,Пробег,18
РО294ВВ,2023-01-02,,242.0,Пробег,19
АО845НВ,2023-01-02,,306.0,Пробег,20
СК833УХ,2023-01-03,,563.0,Админ_расходы,2
ТК821ВА,2023-01-03,,23434.0,Аренда,5
ХВ792ХС,2023-01-03,,256.0,Пробег,1
СК833УХ,2023-01-03,,282.0,Пробег,2
ХО448МЕ,2023-01-03,,332.0,Пробег,3
АХ570СВ,2023-01-03,,121.0,Пробег,4
ТК821ВА,2023-01-03,,201.0,Пробег,5
УН266НН,2023-01-03,,133.0,Пробег,6
СХ350ЕР,2023-01-03,,276.0,Пробег,7
АН510МВ,2023-01-03,,260.0,Пробег,8
ЕМ242КХ,2023-01-03,,0.0,Пробег,9
СР193АВ,2023-01-03,,285.0,Пробег,10
МС981АУ,2023-01-03,,123.0,Пробег,11
ЕР103ХХ,2023-01-03,,87.0,Пробег,12
УС723КЕ,2023-01-03,,103.0,Пробег,13
НР119ВН,2023-01-03,,77.0,Пробег,14
ВС884ЕЕ,2023-01-03,,109.0,Пробег,15
СХ806КХ,2023-01-03,,272.0,Пробег,16
НА702СК,2023-01-03,,297.0,Пробег,17
НВ626КМ,2023-01-03,,298.0,Пробег,18
РО294ВВ,2023-01-03,,213.0,Пробег,19
АО845НВ,2023-01-03,,319.0,Пробег,20
ВС884ЕЕ,2023-01-04,,31211.0,Аренда,15
ЕР103ХХ,2023-01-04,,652.0,Админ_расходы,12
ХВ792ХС,2023-01-04,,253.0,Пробег,1
СК833УХ,2023-01-04,,275.0,Пробег,2
ХО448МЕ,2023-01-04,,205.0,Пробег,3
АХ570СВ,2023-01-04,,142.0,Пробег,4
ТК821ВА,2023-01-04,,130.0,Пробег,5
УН266НН,2023-01-04,,119.0,Пробег,6
СХ350ЕР,2023-01-04,,336.0,Пробег,7
АН510МВ,2023-01-04,,249.0,Пробег,8
ЕМ242КХ,2023-01-04,,122.0,Пробег,9
СР193АВ,2023-01-04,,274.0,Пробег,10
МС981АУ,2023-01-04,,127.0,Пробег,11
ЕР103ХХ,2023-01-04,,91.0,Пробег,12
УС723КЕ,2023-01-04,,112.0,Пробег,13
НР119ВН,2023-01-04,,0.0,Пробег,14
ВС884ЕЕ,2023-01-04,,78.0,Пробег,15
СХ806КХ,2023-01-04,,308.0,Пробег,16
НА702СК,2023-01-04,,325.0,Пробег,17
НВ626КМ,2023-01-04,,292.0,Пробег,18
РО294ВВ,2023-01-04,,274.0,Пробег,19
АО845НВ,2023-01-04,,288.0,Пробег,20
МС981АУ,2023-01-05,,1253.0,Топливо,11
ХВ792ХС,2023-01-05,,208.0,Пробег,1
СК833УХ,2023-01-05,,292.0,Пробег,2
ХО448МЕ,2023-01-05,,249.0,Пробег,3
АХ570СВ,2023-01-05,,161.0,Пробег,4
ТК821ВА,2023-01-05,,191.0,Пробег,5
УН266НН,2023-01-05,,94.0,Пробег,6
СХ350ЕР,2023-01-05,,172.0,Пробег,7
АН510МВ,2023-01-05,,266.0,Пробег,8
ЕМ242КХ,2023-01-05,,77.0,Пробег,9
СР193АВ,2023-01-05,,214.0,Пробег,10
МС981АУ,2023-01-05,,118.0,Пробег,11
ЕР103ХХ,2023-01-05,,141.0,Пробег,12
УС723КЕ,2023-01-05,,161.0,Пробег,13
НР119ВН,2023-01-05,,99.0,Пробег,14
ВС884ЕЕ,2023-01-05,,103.0,Пробег,15
СХ806КХ,2023-01-05,,225.0,Пробег,16
НА702СК,2023-01-05,,332.0,Пробег,17
НВ626КМ,2023-01-05,,290.0,Пробег,18
РО294ВВ,2023-01-05,,0.0,Пробег,19
АО845НВ,2023-01-05,,490.0,Пробег,20
МС981АУ,2023-01-06,,4.0,Ремонт,11
СК833УХ,2023-01-06,,25806.0,Аренда,2
ХВ792ХС,2023-01-06,,240.0,Пробег,1
