Дата,Автомобиль,Пробег_км,Топливо_руб,Зарплата_руб,Ремонт_руб,Аренда_руб,Амортизация_руб,Налоги_руб,Админ_расходы_руб,Штрафы_руб
2023-01-01,Car_7,233,1605,2344,25,2054,822,62,666,13187
2023-01-01,Car_7,227,1565,2570,0,3024,822,62,882,0
2023-01-02,Car_2,238,1549,2265,0,3488,822,62,1182,5747
2023-01-02,Car_3,115,749,2273,45,3691,822,62,946,0
2023-01-02,Car_7,115,750,2008,0,2797,822,62,764,0
2023-01-03,Car_7,173,1210,2306,0,3439,822,62,729,0
2023-01-04,Car_3,233,1750,1890,0,2950,822,62,662,0
2023-01-05,Car_3,145,935,2642,0,2414,822,62,742,0
2023-01-05,Car_8,248,1603,2608,0,2829,822,62,754,0
2023-01-05,Car_5,193,1245,2706,0,2407,822,62,749,12968
2023-01-05,Car_10,263,1699,2650,0,3246,822,62,649,0
2023-01-06,Car_4,126,817,2856,0,3158,822,62,456,0
2023-01-06,Car_8,178,1153,3489,3,2055,822,62,701,0
2023-01-06,Car_9,219,1417,2499,32,3239,822,62,568,0
2023-01-07,Car_6,170,1286,2525,0,2427,822,62,644,0
2023-01-07,Car_9,187,1415,3219,21,2957,822,62,928,0
2023-01-07,Car_2,218,1649,3090,111,3066,822,62,1105,0
2023-01-08,Car_9,236,1666,2920,0,3197,822,62,693,0
2023-01-09,Car_7,234,1477,2268,0,3988,822,62,795,0
2023-01-09,Car_10,285,1804,3447,0,2770,822,62,715,0
2023-01-10,Car_3,227,1576,3191,0,2713,822,62,887,0
2023-01-10,Car_6,227,1570,1952,0,2001,822,62,705,0
2023-01-10,Car_6,256,1772,1754,0,2945,822,62,620,0
2023-01-10,Car_4,357,2470,2467,0,3174,822,62,725,0
2023-01-10,Car_4,120,829,2713,0,2714,822,62,549,0
2023-01-11,Car_8,177,1119,3164,0,3311,822,62,1055,0
2023-01-11,Car_2,218,1376,2437,0,2854,822,62,1012,0
2023-01-11,Car_8,292,1847,2919,69,3442,822,62,741,0
2023-01-11,Car_5,257,1624,2531,202,2646,822,62,543,0
2023-01-11,Car_10,157,993,1981,0,3212,822,62,497,0
2023-01-12,Car_5,227,1434,2938,0,1923,822,62,768,0
2023-01-12,Car_6,189,1193,2448,0,2902,822,62,593,10312
2023-01-12,Car_5,287,1817,1882,0,3386,822,62,901,0
2023-01-12,Car_2,223,1410,2526,7,1956,822,62,824,0
2023-01-13,Car_8,171,1151,2848,0,3957,822,62,899,0
2023-01-13,Car_10,197,1326,2649,0,2987,822,62,901,0
2023-01-13,Car_8,233,1570,1760,0,3071,822,62,989,0
2023-01-13,Car_2,199,1340,3145,0,3164,822,62,891,0
2023-01-13,Car_4,263,1774,2816,0,3347,822,62,722,0
2023-01-13,Car_1,208,1402,3138,18,2486,822,62,631,0
2023-01-15,Car_9,255,1421,2680,0,4123,822,62,590,10871
2023-01-15,Car_2,90,499,2318,0,2659,822,62,796,0
2023-01-15,Car_10,121,671,3150,0,3085,822,62,865,0
2023-01-16,Car_5,240,1504,2198,0,3141,822,62,744,0
2023-01-16,Car_4,159,994,1735,0,2508,822,62,879,0
2023-01-16,Car_4,166,1042,2077,0,3779,822,62,813,0
2023-01-16,Car_10,175,1097,2171,0,3257,822,62,770,0
2023-01-16,Car_6,173,1085,2982,0,3032,822,62,877,0
2023-01-16,Car_6,269,1682,2796,0,3211,822,62,749,0
2023-01-16,Car_8,140,877,2382,0,2654,822,62,1050,0
2023-01-17,Car_10,232,1389,2701,29,3341,822,62,728,0
2023-01-17,Car_1,193,1157,1885,45,2935,822,62,854,0
2023-01-17,Car_9,218,1307,3171,58,2999,822,62,689,0
2023-01-17,Car_1,222,1330,2201,0,3602,822,62,974,0
2023-01-18,Car_5,148,1001,2594,0,2644,822,62,489,10191
2023-01-18,Car_6,287,1949,1900,0,3435,822,62,534,0
2023-01-18,Car_3,190,1287,2716,35,3863,822,62,616,0
2023-01-18,Car_9,186,1264,2492,0,2405,822,62,877,0
2023-01-19,Car_7,148,897,2985,0,2842,822,62,828,0
2023-01-19,Car_5,191,1156,2562,0,2802,822,62,1293,0
2023-01-19,Car_4,149,903,2535,0,2555,822,62,942,0
2023-01-19,Car_3,148,893,2498,0,1924,822,62,968,0
2023-01-22,Car_6,103,669,3377,0,3609,822,62,936,0
2023-01-22,Car_8,292,1887,2326,16,3130,822,62,691,0
2023-01-23,Car_4,239,1587,2865,0,3060,822,62,480,0
2023-01-23,Car_1,273,1812,2074,0,3279,822,62,739,0
2023-01-23,Car_5,200,1330,2597,0,2474,822,62,606,0
2023-01-24,Car_4,156,899,3112,0,2928,822,62,1044,0
2023-01-24,Car_3,261,1497,3156,0,1992,822,62,780,0
2023-01-24,Car_8,174,997,2192,0,2130,822,62,688,12827
2023-01-25,Car_1,212,1328,2880,0,3002,822,62,503,0
2023-01-25,Car_6,151,950,2297,0,2896,822,62,566,0
2023-01-25,Car_6,231,1447,2343,0,3380,822,62,797,9162
2023-01-26,Car_5,176,1176,2494,0,3196,822,62,916,0
2023-01-28,Car_3,245,1671,2344,0,2346,822,62,911,0
2023-01-29,Car_2,89,556,2614,0,2778,822,62,841,0
2023-01-29,Car_9,219,1365,2421,0,2635,822,62,724,0
2023-01-29,Car_2,312,1947,3021,0,2697,822,62,1112,0
2023-01-30,Car_7,145,930,2408,0,3031,822,62,818,0
2023-01-31,Car_9,244,1523,2504,0,3614,822,62,691,0
2023-01-31,Car_8,137,856,2081,0,2514,822,62,907,0
2023-01-31,Car_10,219,1364,2743,0,2646,822,62,1062,0
2023-02-02,Car_2,162,1066,2377,117,2574,822,62,937,0
2023-02-02,Car_4,278,1830,2159,0,3922,822,62,872,0
2023-02-02,Car_1,153,1006,2411,0,2028,822,62,745,0
2023-02-02,Car_1,138,908,2835,0,3476,822,62,637,0
2023-02-04,Car_5,140,996,2618,12,3135,822,62,457,0
2023-02-04,Car_2,221,1569,2330,167,2674,822,62,612,0
2023-02-04,Car_6,320,2271,3225,0,3558,822,62,925,0
2023-02-05,Car_7,255,1498,3031,0,3120,822,62,849,0
2023-02-05,Car_5,187,1100,1983,0,3324,822,62,1016,0
2023-02-05,Car_5,241,1415,2611,0,3744,822,62,1091,0
2023-02-06,Car_6,217,1459,2810,0,3136,822,62,1024,12495
2023-02-07,Car_3,200,1086,3125,0,3631,822,62,550,0
2023-02-08,Car_10,217,1259,1890,0,3486,822,62,1053,0
2023-02-08,Car_9,133,775,2285,0,2182,822,62,861,0
2023-02-09,Car_10,299,2008,2250,0,3966,822,62,966,0
2023-02-09,Car_3,165,1108,2879,15,3015,822,62,936,0
2023-02-09,Car_3,149,999,2467,0,2920,822,62,776,0
2023-02-09,Car_9,215,1447,2360,0,3307,822,62,852,0
2023-02-10,Car_6,221,1558,2787,0,2325,822,62,1135,0
2023-02-11,Car_6,213,1429,2314,0,2128,822,62,481,0
2023-02-11,Car_3,172,1150,2563,0,1899,822,62,866,0
2023-02-11,Car_10,216,1451,2860,0,2827,822,62,956,0
2023-02-12,Car_6,183,1196,2372,0,2843,822,62,796,0
2023-02-13,Car_8,201,1293,2409,0,2915,822,62,873,0
2023-02-13,Car_6,264,1698,2921,0,2897,822,62,1207,0
2023-02-13,Car_5,85,547,2527,0,3461,822,62,903,0
2023-02-14,Car_7,265,1512,2663,0,2827,822,62,799,0
2023-02-14,Car_5,151,863,2532,0,3302,822,62,870,0
2023-02-15,Car_9,176,1088,2905,46,3836,822,62,343,0
2023-02-17,Car_7,226,1635,2675,31,3928,822,62,981,0
2023-02-18,Car_2,201,1368,2379,0,3580,822,62,845,0
2023-02-19,Car_10,101,558,2818,0,2999,822,62,962,0
2023-02-19,Car_8,225,1248,2534,0,2596,822,62,928,0
2023-02-19,Car_10,299,1656,3006,28,4032,822,62,707,0
2023-02-19,Car_7,259,1437,1768,0,3271,822,62,840,0
2023-02-20,Car_9,301,2046,2527,0,3560,822,62,971,0
2023-02-20,Car_10,308,2096,2816,0,2097,822,62,746,0
2023-02-21,Car_8,335,2133,2280,34,3109,822,62,989,0
2023-02-21,Car_6,225,1431,2077,0,2744,822,62,792,0
2023-02-21,Car_2,148,944,2732,27,2889,822,62,865,0
2023-02-22,Car_5,232,1437,2611,74,2899,822,62,946,0
2023-02-22,Car_9,203,1259,2718,0,1891,822,62,632,0
2023-02-22,Car_8,220,1363,2186,0,2786,822,62,922,0
2023-02-23,Car_9,305,2126,2309,0,2201,822,62,933,0
2023-02-24,Car_1,227,1637,2339,0,2620,822,62,905,0
2023-02-25,Car_8,252,1801,3083,0,2827,822,62,697,0
2023-02-25,Car_4,226,1616,2664,0,3263,822,62,752,0
2023-02-25,Car_7,189,1355,2119,0,2444,822,62,739,0
2023-02-25,Car_3,181,1299,2784,0,2971,822,62,713,0
2023-02-26,Car_3,251,1528,3317,0,3266,822,62,988,0
2023-02-26,Car_9,241,1471,2411,66,2823,822,62,730,0
2023-02-27,Car_1,114,733,2920,0,2868,822,62,627,0
2023-02-28,Car_4,191,1298,2724,0,3416,822,62,1251,0
2023-02-28,Car_1,181,1229,3244,0,2166,822,62,972,0
2023-03-01,Car_4,206,1478,2052,0,2265,822,62,778,0
2023-03-01,Car_3,202,1451,3156,0,3516,822,62,948,0
2023-03-01,Car_4,168,1209,2417,0,3231,822,62,450,0
2023-03-01,Car_9,323,2324,2255,14,3088,822,62,793,0
2023-03-01,Car_8,200,1434,2275,0,2229,822,62,1256,0
2023-03-02,Car_4,213,1345,2934,0,2297,822,62,684,0
2023-03-02,Car_1,184,1164,2840,9,2355,822,62,685,0
2023-03-02,Car_5,214,1352,2340,0,1941,822,62,669,0
2023-03-03,Car_1,283,1837,2837,0,2675,822,62,567,0
2023-03-03,Car_1,185,1200,2217,0,3108,822,62,869,11038
2023-03-04,Car_1,102,604,2705,8,2670,822,62,766,0
2023-03-04,Car_9,250,1483,2379,0,3188,822,62,737,0
2023-03-04,Car_6,212,1260,2449,0,2657,822,62,424,0
2023-03-06,Car_10,201,1424,2382,0,2283,822,62,1017,8874
2023-03-07,Car_7,266,1969,2128,0,3100,822,62,369,0
2023-03-07,Car_9,119,881,3134,0,2683,822,62,956,0
2023-03-07,Car_1,280,2073,2438,0,4595,822,62,886,0
2023-03-07,Car_10,275,2041,2944,0,3740,822,62,563,9096
2023-03-08,Car_5,271,1777,2511,0,3090,822,62,884,0
2023-03-08,Car_4,204,1339,1857,0,2954,822,62,620,0
